nlp_soc_code_rolled,src,date,Z_score,high_expected_job_count,low_expected_job_count,low_expected_job_count_mad,rolling_mean,rolling_std,rolling_median,rolling_mad,job_count,is_high_anomaly,is_low_anomaly,is_anomaly,date_only
,linkedin_us,2025-01-07,1.2554589755587295,949008.5477502904,0.0,37927.5,432416.14285714284,172197.46829771585,393615.0,101625.0,648603,False,False,False,2025-01-07
,linkedin_us,2025-01-08,1.1262270809292283,998328.2814900614,0.0,0.0,461221.125,179035.71883002046,430951.5,178306.5,662856,False,False,False,2025-01-08
,linkedin_us,2025-01-09,0.6843596102696577,995871.5799178511,0.0,0.0,476044.0,173275.85997261707,468288.0,176298.0,594627,False,False,False,2025-01-09
,linkedin_us,2025-01-10,0.7382057226397272,997384.4574312167,0.0,86509.5,489918.6,169155.28581040556,531457.5,127128.0,614790,False,False,False,2025-01-10
,linkedin_us,2025-01-11,0.5444908370502498,988274.1617932043,9330.565479523037,324384.0,498802.36363636365,163157.2660522802,587640.0,75216.0,587640,False,False,False,2025-01-11
,linkedin_us,2025-01-12,0.008105943918135648,965611.5686036873,32222.431396312662,167484.0,498917.0,155564.85620122912,543909.0,107550.0,500178,False,False,False,2025-01-12
,linkedin_us,2025-01-13,1.3591907739356894,1006904.8856131851,27892.037463737943,281523.0,517398.46153846156,163168.80802490786,587640.0,87462.0,739176,False,False,False,2025-01-13
,linkedin_us,2025-01-14,1.1998235250840468,1033947.733417255,31683.552297030692,216981.75,532815.6428571428,167044.03018670404,591133.5,106900.5,733239,False,False,False,2025-01-14
,linkedin_us,2025-01-15,0.5653792710021575,1028317.495061446,50476.90493855387,264055.5,539397.2,162973.4316871487,594627.0,94449.0,631539,False,False,False,2025-01-15
,linkedin_us,2025-01-16,1.7209398833735703,1091358.1453592698,28098.604640730075,196851.75,559728.375,177209.92345308998,604708.5,116530.5,864696,False,False,False,2025-01-16
,linkedin_us,2025-01-17,0.9215209784737208,1099808.125551416,39995.2862132896,202192.5,569901.7058823529,176635.47322302108,614790.0,117885.0,732675,False,False,False,2025-01-17
,linkedin_us,2025-01-18,0.4566045706754931,1091989.898333973,57079.10166602698,238890.75,574534.5,172485.132777991,623164.5,109792.5,653292,False,False,False,2025-01-18
,linkedin_us,2025-01-19,-0.5010492010171231,1076453.0668620346,63214.406822175835,202192.5,569833.7368421053,168873.11000664314,614790.0,117885.0,485220,False,False,False,2025-01-19
,linkedin_us,2025-01-20,-1.1427902344865184,1071545.39230915,47592.90769085003,171662.25,559569.15,170658.74743638333,604708.5,123727.5,364542,False,False,False,2025-01-20
,linkedin_us,2025-01-21,-0.8026234061449475,1060449.464450682,45106.53554931801,152440.5,552778.0,169223.82148356066,594627.0,126339.0,416955,False,False,False,2025-01-21
,linkedin_us,2025-01-22,-0.32040707458727974,1046961.9946049108,53541.64175872563,190805.25,550251.8181818182,165570.05880769753,591133.5,114379.5,497202,False,False,False,2025-01-22
,linkedin_us,2025-01-23,-0.26418249421464346,1034402.8711182598,62209.30279478361,229170.0,548306.0869565217,162032.26138724605,587640.0,102420.0,505500,False,False,False,2025-01-23
,linkedin_us,2025-01-24,0.5353491094689635,1030552.173120396,73485.57687960402,241404.75,552018.875,159511.09937346532,591133.5,99922.5,637413,False,False,False,2025-01-24
,linkedin_us,2025-01-25,0.3258204039602431,1023684.4396961526,84602.92030384752,253639.5,554143.68,156513.58656538418,594627.0,97425.0,605139,False,False,False,2025-01-25
,linkedin_us,2025-01-26,-0.9671962679275555,1017367.6887943791,78816.15735946712,241404.75,548091.9230769231,156425.255239152,591133.5,99922.5,396798,False,False,False,2025-01-26
,linkedin_us,2025-01-27,-0.2585134345989763,1007342.8936931699,85786.66186238558,271107.0,546564.7777777778,153592.70530513072,587640.0,90438.0,506859,False,False,False,2025-01-27
,linkedin_us,2025-01-28,0.28558569591767236,1001036.0726721694,95286.92732783058,271773.75,548161.5,150958.19089072314,589456.5,90766.5,591273,False,False,False,2025-01-28
,linkedin_us,2025-01-29,0.3189241282406013,995406.0880662343,104300.18779583462,272440.5,549853.1379310344,148517.6500450666,591273.0,91095.0,597219,False,False,False,2025-01-29
,linkedin_us,2025-01-30,0.05930643395175248,987982.6795271274,112320.52047287254,286295.25,550151.6,145943.69317570914,589456.5,86617.5,558807,False,False,False,2025-01-30
,linkedin_us,2025-01-31,-0.2698810326170603,950706.3050100066,171629.69498999335,297987.0,561168.0,129846.10167000222,589456.5,83277.0,526125,False,False,False,2025-01-31
,linkedin_us,2025-02-01,-2.4596964993315775,978993.2215518788,132279.9784481211,297987.0,555636.6,141118.8738506263,589456.5,83277.0,208527,False,True,True,2025-02-01
